TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2015 Cuarto trimestre,2015-Q4,2512,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2016 Primer trimestre,2016-Q1,1670,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2016 Primer trimestre,2016-Q1,2643,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2016 Segundo trimestre,2016-Q2,1678,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2016 Segundo trimestre,2016-Q2,2512,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2016 Tercer trimestre,2016-Q3,1706,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2016 Tercer trimestre,2016-Q3,2718,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2016 Cuarto trimestre,2016-Q4,1720,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2016 Cuarto trimestre,2016-Q4,2759,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2017 Primer trimestre,2017-Q1,1714,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2017 Primer trimestre,2017-Q1,2830,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2017 Segundo trimestre,2017-Q2,1741,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2017 Segundo trimestre,2017-Q2,2699,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2017 Tercer trimestre,2017-Q3,1757,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2017 Tercer trimestre,2017-Q3,2929,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2017 Cuarto trimestre,2017-Q4,1687,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2017 Cuarto trimestre,2017-Q4,2929,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2018 Primer trimestre,2018-Q1,1738,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2018 Primer trimestre,2018-Q1,3054,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2018 Segundo trimestre,2018-Q2,1736,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2018 Segundo trimestre,2018-Q2,2836,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2018 Tercer trimestre,2018-Q3,1662,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2018 Tercer trimestre,2018-Q3,2995,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2018 Cuarto trimestre,2018-Q4,1653,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2018 Cuarto trimestre,2018-Q4,2980,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2019 Primer trimestre,2019-Q1,1686,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2019 Primer trimestre,2019-Q1,2981,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2019 Segundo trimestre,2019-Q2,1663,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2019 Segundo trimestre,2019-Q2,2859,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2019 Tercer trimestre,2019-Q3,1652,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2019 Tercer trimestre,2019-Q3,2965,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2019 Cuarto trimestre,2019-Q4,1613,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2019 Cuarto trimestre,2019-Q4,3016,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2020 Primer trimestre,2020-Q1,1321,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2020 Primer trimestre,2020-Q1,2697,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2020 Segundo trimestre,2020-Q2,1275,,,
